,group_name,city_id,dt,is_blank,group_usr_num,gmv,subsidy_hufan,subsidy_coupon,subsidy_c,bubble_cnt,compete_call_cnt,objective_call_cnt,fk_gmv,fk_subsidy_c,fk_subsidy_hufan
174,rgroup_joint_blank,300,2023-04-03,1,337,4491.200000,58.710000,235.800000,314.780000,1579.000000,428.000000,410.000000,13.32700296735905044510385757,0.9340652818991097922848664688,0.1742136498516320474777448071
177,rgroup_joint_exp_pack,28,2023-04-17,0,47205,721751.220000,13891.860000,54486.640000,60943.016300,213959.000000,55847.000000,51808.000000,15.28971973307912297426120114,1.291028838046817074462451012,0.2942878932316491897044804576
178,rgroup_joint_exp_pack,33,2023-04-03,0,122051,2458636.770000,57346.800000,151108.060000,194182.065700,495676.000000,122339.000000,116714.000000,20.14433941549024588082031282,1.590991189748547738240571564,0.4698593211034731382782607271
179,rgroup_joint_exp_pack,195,2023-04-12,0,3161,10617.460000,94.870000,597.020000,614.670000,12797.000000,2741.000000,1256.000000,3.358892755457133818411894970,0.1944542866181588105030053780,0.03001265422334704207529262891
180,rgroup_joint_exp_pack,137,2023-04-10,0,23466,401844.600000,8575.950000,26947.780000,30880.173800,121705.000000,30581.000000,27244.000000,17.12454615187931475326003580,1.315953882212562856899343731,0.3654627972385579135770902582
181,rgroup_joint_exp_pack,329,2023-04-09,0,5674,40073.210000,87.660000,2412.230000,2659.600000,16054.000000,5926.000000,5313.000000,7.062603101868170602749383151,0.4687345787804018329221008107,0.01544941839971801198449065915
182,rgroup_joint_blank,8,2023-04-08,1,8147,70353.650000,27.970000,7101.510000,7708.419100,31588.000000,5707.000000,4146.000000,8.635528415367619982815760403,0.9461665766539830612495397079,0.003433165582422977783233091936
183,rgroup_joint_exp_pack,274,2023-04-16,0,3466,84884.640000,4351.250000,7872.140000,8443.490000,13315.000000,3303.000000,3289.000000,24.49066358915175995383727640,2.436090594345066358915175995,1.255409694171956145412579342
185,rgroup_joint_exp_pack,190,2023-04-17,0,5708,49759.320000,1600.120000,4552.110000,4990.480000,23978.000000,5593.000000,4446.000000,8.717470217238962859145059566,0.8742957252978276103714085494,0.2803293622985283812193412754
186,rgroup_joint_blank,258,2023-04-10,1,935,12261.740000,23.520000,679.570000,1006.960000,4165.000000,1149.000000,1125.000000,13.11416042780748663101604278,1.076962566844919786096256684,0.02515508021390374331550802139
187,rgroup_joint_exp_pack,209,2023-04-05,0,1217,6714.000000,20.160000,524.980000,546.030000,4940.000000,1001.000000,897.000000,5.516844700082169268693508628,0.4486688578471651602300739523,0.01656532456861133935907970419
190,rgroup_joint_exp_pack,86,2023-04-10,0,156172,3147545.020000,251685.270000,360550.300000,515589.618000,701288.000000,187506.000000,172859.000000,20.15434917911021181773941552,3.301421624875137668724227134,1.611590233844735291857695362
191,rgroup_joint_exp_pack,25,2023-04-15,0,129081,1344422.300000,18434.960000,134922.840000,148136.622400,621818.000000,119412.000000,87597.000000,10.41533843090772460702969453,1.147625308139850171597678977,0.1428169908816944399253182110
