city_id,pred_date,ori_c_budget,new_c_budget,new_c_budget_rate,ori_b_budget,ori_acc_budget,ori_acc_rate,new_b_budget,new_b_budget_rate,cur_diaodu_subsidy,new_diaodu_budget_rate,subsidy_money_lowerbound,subsidy_money_upperbound,lastweek_avg_diaodu_rate,type,k1,k2,k3,alpha,intercept,succ_rate,total_gmv,dgmv,roi,dt_idx,tdate,last_week_subsidy,lastweek_diaodu_gmv,lastweek_diaodu_subsidy
144,2023-03-28,0.0,17687.622286429672,0.03445013779751381,0.0,0.0,0.0,0.0,0.0,309.3436584472656,0.0006025078717602182,309.3436584472656,872.644822845179,0.0,sigmoid_linear,7.112315384749161,-0.014888222180971794,1.1843972027765475,0.0,0.0,0.7875985081122117,513426.75,0.01651219494631495,0.4710684352362306,2,2023-03-20,447.0,494912.46,447.0
144,2023-03-29,0.0,17266.954267779074,0.034324093930385186,0.0,0.0,0.0,0.0,0.0,289.86224365234375,0.0005762023066546841,289.86224365234375,872.644822845179,0.0,sigmoid_linear,7.112315384749161,-0.014888222180971794,1.1843972027765475,0.0,0.0,0.7810071733199155,503056.375,0.017465571450568484,0.5004419255339209,3,2023-03-21,364.0,487378.03,364.0
144,2023-03-30,0.0,18719.97908007649,0.03486775514608733,0.0,0.0,0.0,0.0,0.0,339.2699890136719,0.0006319228699317603,339.2699890136719,872.644822845179,0.0,sigmoid_linear,7.112315384749161,-0.014888222180971794,1.1843972027765475,0.0,0.0,0.775879904954844,536885.125,0.015754230256946444,0.44378515911714495,4,2023-03-22,366.0,480226.19,366.0
144,2023-03-31,0.0,20668.98454379679,0.035450751425276476,0.0,0.0,0.0,0.0,0.0,339.2699890136719,0.000581904545000477,339.2699890136719,872.644822845179,0.0,sigmoid_linear,7.112315384749161,-0.014888222180971794,1.1843972027765475,0.0,0.0,0.6765795492753921,583033.75,0.014408861473723444,0.3998834136903257,5,2023-03-23,284.0,609921.96,284.0
145,2023-03-27,0.0,17946.87813876672,0.03603083107048722,0.0,0.0,0.0,0.0,0.0,386.7735595703125,0.0007765012209731648,386.7735595703125,1334.564984685145,0.0,sigmoid_linear,7.409578070337399,-0.026086314350738344,0.8462133912999875,0.0,0.0,0.8208459850752615,498097.8125,0.020199584491654043,0.5487924072220937,1,2023-03-19,263.0,631377.04,263.0
145,2023-03-28,0.0,17686.686053183053,0.03571778306190194,0.0,0.0,0.0,0.0,0.0,386.7735595703125,0.0007810787195109291,386.7735595703125,1334.564984685145,0.0,sigmoid_linear,7.409578070337399,-0.026086314350738344,0.8462133912999875,0.0,0.0,0.8203966360122538,495178.71875,0.018352156322523516,0.5028144831592911,2,2023-03-20,392.0,492198.56,392.0
145,2023-03-29,0.0,17914.30076793744,0.03586194642193232,0.0,0.0,0.0,0.0,0.0,400.3999938964844,0.0008015452746086158,400.3999938964844,1334.564984685145,0.0,sigmoid_linear,7.409578070337399,-0.026086314350738344,0.8462133912999875,0.0,0.0,0.8178113707828897,499535.09375,0.020344202688911572,0.5548899394879777,3,2023-03-21,422.0,470666.11,422.0
145,2023-03-30,0.0,17833.590641492123,0.03525349038666928,0.0,0.0,0.0,0.0,0.0,386.7735595703125,0.000764575022396557,386.7735595703125,1334.564984685145,0.0,sigmoid_linear,7.409578070337399,-0.026086314350738344,0.8462133912999875,0.0,0.0,0.8076415198819836,505867.375,0.01821907284067059,0.5058315218697117,4,2023-03-22,402.0,483325.21,402.0
145,2023-03-31,0.0,20445.33952508885,0.03561112500431868,0.0,0.0,0.0,0.0,0.0,386.7735595703125,0.0006736714526712582,386.7735595703125,1334.564984685145,0.0,sigmoid_linear,7.409578070337399,-0.026086314350738344,0.8462133912999875,0.0,0.0,0.7507506901319458,574127.875,0.016755559416325116,0.4617790659563507,5,2023-03-23,374.0,616702.55,374.0
146,2023-03-27,0.0,13589.433622798706,0.02854178380256875,0.0,0.0,0.0,0.0,0.0,382.77734375,0.0008039443359512165,382.77734375,1189.5641480761947,0.0,sigmoid_linear,5.241653295494435,-0.02614926304206106,0.5499311624666255,0.0,0.0,0.7350897560551389,476124.1875,0.0289743538173588,0.9873448592105746,1,2023-03-19,292.0,503766.05,292.0
146,2023-03-28,0.0,13652.56228484159,0.028611335763373314,0.0,0.0,0.0,0.0,0.0,336.4284973144531,0.0007050448477146531,336.4284973144531,1189.5641480761947,0.0,sigmoid_linear,5.241653295494435,-0.02614926304206106,0.5499311624666255,0.0,0.0,0.7391336412130562,477173.1875,0.027941423001453414,0.9530993396533225,2,2023-03-20,458.0,456490.4,458.0
146,2023-03-29,0.0,13745.06668993301,0.0283891521794756,0.0,0.0,0.0,0.0,0.0,336.4284973144531,0.000694861656420152,336.4284973144531,1189.5641480761947,0.0,sigmoid_linear,5.241653295494435,-0.02614926304206106,0.5499311624666255,0.0,0.0,0.7417355153479899,484166.15625,0.02951711339555474,1.0148913269709852,3,2023-03-21,340.0,467025.85,340.0
146,2023-03-30,0.0,13754.181627537464,0.028330233966274283,0.0,0.0,0.0,0.0,0.0,373.1637878417969,0.0007686256953400442,373.1637878417969,1189.5641480761947,0.0,sigmoid_linear,5.241653295494435,-0.02614926304206106,0.5499311624666255,0.0,0.0,0.7455163803772552,485494.8125,0.028084470610816092,0.9651399036733948,4,2023-03-22,402.0,466623.8,402.0
146,2023-03-31,0.0,16340.066855415356,0.029538183028047456,0.0,0.0,0.0,0.0,0.0,373.1637878417969,0.0006745737555570288,373.1637878417969,1189.5641480761947,0.0,sigmoid_linear,5.241653295494435,-0.02614926304206106,0.5499311624666255,0.0,0.0,0.6973003818814464,553184.5625,0.028326175482252358,0.9375567971216741,5,2023-03-23,524.0,462367.49,524.0
148,2023-03-27,0.0,13475.102362693753,0.036509800936411714,0.0,0.0,0.0,0.0,0.0,264.0,0.0007152886254799389,264.0,578.68053168439,0.0,sigmoid_linear,5.425861594351451,-0.011451104475129453,0.8598714327632102,0.0,0.0,0.6379420011697362,369081.78125,0.02206848320020738,0.59283895512234,1,2023-03-19,32.0,404827.84,32.0
148,2023-03-28,0.0,13663.632156104462,0.03665704308944498,0.0,0.0,0.0,0.0,0.0,196.80974375,0.0005280047921842794,196.80974375,578.68053168439,0.0,sigmoid_linear,5.425861594351451,-0.011451104475129453,0.8598714327632102,0.0,0.0,0.6310754060069799,372742.34375,0.021557779618216477,0.5797432260095807,2,2023-03-20,284.0,346620.77,284.0
148,2023-03-29,0.0,14941.335506072945,0.03672159535681188,0.0,0.0,0.0,0.0,0.0,205.81211853027344,0.0005058282328995985,205.81211853027344,578.68053168439,0.0,sigmoid_linear,5.425861594351451,-0.011451104475129453,0.8598714327632102,0.0,0.0,0.6378099256585367,406881.4375,0.022014958442520216,0.5913640085639573,3,2023-03-21,210.0,358536.96,210.0
148,2023-03-30,0.0,14694.359028827052,0.03702417707078503,0.0,0.0,0.0,0.0,0.0,196.80974375,0.0004958854474401307,196.80974375,578.68053168439,0.0,sigmoid_linear,5.425861594351451,-0.011451104475129453,0.8598714327632102,0.0,0.0,0.6443736184680773,396885.5,0.0220491658041726,0.5876633545976192,4,2023-03-22,224.0,411042.06,224.0
148,2023-03-31,0.0,15719.140253378137,0.037204504318729244,0.0,0.0,0.0,0.0,0.0,264.0,0.0006248426429068674,264.0,578.68053168439,0.0,sigmoid_linear,5.425861594351451,-0.011451104475129453,0.8598714327632102,0.0,0.0,0.629025322059446,422506.375,0.022035591850522396,0.5824999271827069,5,2023-03-23,290.0,352620.02,290.0
